Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
CHICLAYO,Mall Aventura Chiclayo,Panamericana Norte cruce con Avenida Escrivá de Balaguer,20%,0%,"36 
",14720,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:59
BELLAVISTA,Mall Plaza Bellavista, Av. Oscar R. Benavides 3866,30%,9%,"2001 
",23157,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
TRUJILLO,Mall Plaza Trujillo,Av. América Oeste s/n,30%,10%,"2597 
",25399,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CAYMA,Mall Plaza Arequipa,Av. Ejercito 795,30%,7%,"915 
",13105,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
COMAS,Mall Plaza Comas, Av Los Angeles,30%,8%,"1572 
",19527,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CERRO COLORADO,Arequipa Center,Av. Aviación 602,30%,2%,"190 
",9270,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CHORRILLOS,Plaza Lima Sur,Av. Paseo de la República SN,30%,13%,"2202 
",17386,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CAYMA,Real Plaza Arequipa,Av. Ejercito Nº 1009,30%,10%,"761 
",7747,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CAJAMARCA,Real Plaza Cajamarca,Av. Evitamiento Norte,30%,5%,"562 
",11609,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CUSCO,Real Plaza Cusco,Av. CollasuyoNro. 2964,20%,0%,"1 
",16356,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
HUANUCO,Real Plaza Huánuco,Jr. Independencia cuadras 16-17,30%,13%,"946 
",7411,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
HUANCAYO,Real Plaza Huancayo,Av. Ferrocarril Nro. 1035,30%,9%,"1119 
",12349,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
TRUJILLO,Real Plaza Trujillo,Av. Cesar Vallejo Oeste N°1345,30%,10%,"1878 
",18813,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CHICLAYO,Real Plaza Chiclayo,Calle Mariscal Avelino Cáceres Nro. 222,20%,0%,"0 
",16220,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
LIMA,Real Plaza Centro Cívico,Av. Garcilaso De la Vega Nro. 1310,30%,16%,"1865 
",11604,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CHORRILLOS,Real Plaza Guardia Civil,Av. Guardia Civil Nro. 1035,30%,9%,"777 
",9073,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
SAN BORJA,Real Plaza Primavera,Av. Aviación esquina con Av.Primavera,30%,6%,"713 
",11000,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
SAN MARTIN DE PORRES,Real Plaza Pro,Av. Alfredo Mendiola N°7042,30%,16%,"1369 
",8414,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
ATE,Real Plaza Puruchuco,Av. Nicolás Ayllón 4770,30%,10%,"3809 
",36300,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
JESUS MARIA,Real Plaza Salaverry,Av. Felipe Santiago Salaverry cuadra 24,30%,14%,"2849 
",20494,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
ATE,Real Plaza,Av. Nicolas Ayllon Nro. 8694,30%,15%,"1265 
",8284,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
VILLA MARIA DEL TRIUNFO,Real Plaza Villa María,Av. Pachacutec 3721 - 3781,30%,11%,"1212 
",11395,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
PIURA,Real Plaza Piura,Av. Sanchez Cerro Nro. 234,30%,11%,"1946 
",17915,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
JULIACA,Real Plaza Juliaca,Jr. Tumbes Nro. 391 Urb. Cercado,20%,0%,"36 
",10500,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
CALLERIA,Real Plaza Pucallpa,Av. Centenario N°365,30%,3%,"292 
",10000,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
SAN BORJA,La Rambla San Borja,Av Javier Prado Este 2050,30%,13%,"541 
",4157,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:58
BREÑA,La Rambla Brasil,Av Brasil 778,30%,3%,"296 
",8931,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:58
