Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
INDEPENDENCIA,Plaza Norte,Av. Alfredo Mendiola 1400,30%,24%,"8971 
",37023,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
SAN JUAN DE MIRAFLORES,Mall del Sur,Av. Los Lirios Nro. 301,30%,20%,"5059 
",25214,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
HUACHO,Plaza del Sol Huacho,Calle Clon 601,30%,15%,"633 
",4223,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
ICA,Plaza del Sol Ica,Av. San Martín 727,30%,8%,"504 
",6123,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
PIURA,Plaza del Sol Grau,Av Grau 1460,30%,7%,"370 
",5631,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
PIURA,Plaza del Sol Centro,Calle Cuzco 801,30%,4%,"88 
",2469,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
PIURA,Plaza del Sol Ampliación,Jr Apurímac 560,30%,10%,"195 
",2005,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
SAN MIGUEL,Centro Comercial Plaza San Miguel,Av. La Marina 2000,30%,11%,"3706 
",32256,(*) Ultima Actualización por Centro Comercial: 16/05/2021 13:00
SANTIAGO DE SURCO,Jockey Plaza Shopping Center,Avenida Javier Prado Este 4200,30%,14%,"5488 
",39997,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:58
SURQUILLO,Open Plaza Angamos,Av. Angamos N° SN (Esq. Con Tomas Marsano),30%,7%,"771 
",11733,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
SAN JUAN DE MIRAFLORES,Open Plaza Atocongo,Av. Circunvalacion N° 1803,30%,13%,"1545 
",11763,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
SAN MIGUEL,Open Plaza La Marina,Av. La Marina N° 2355 Urb. Maranga (1era Etapa),30%,11%,"1046 
",9869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CALLAO,Open Plaza Canta Callao,Av. Canta Callao N°378 Provincia Const. Del Callao (Cruce Con Av. Bertello- ex Japón),30%,20%,"777 
",3869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CASTILLA,Open Plaza Piura,Av. Andres Avelino Cáceres N°147 Urb. Miraflores II Etapa,30%,10%,"1098 
",11442,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CHICLAYO,Open Plaza Chiclayo,Av. V.Raul Haya De La Torre N° Urb.San Eduardo,20%,0%,"5 
",4761,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
TRUJILLO,Open Plaza Trujillo,Av. America Norte N°1245 Urb. Los Jardines,30%,7%,"323 
",4626,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CAJAMARCA,Open Plaza Cajamarca,Av. Evitamiento Norte Cuadra 26,30%,4%,"190 
",5287,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
YARINACOCHA,Open Plaza Pucallpa,Av. Centenario 2086,30%,7%,"578 
",8425,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
HUANUCO,Open Plaza Huánuco,Jr 2 De Mayo N° 175,30%,7%,"283 
",3937,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
HUANCAYO,Open Plaza Huancayo,Av. Ferrocarril 146-150 - Prolongacion San Carlos 136 y Jiron Amazonas 175,30%,4%,"438 
",12342,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
CALLAO,Minka,Av. Argentina 3093,30%,15%,"3638 
",25000,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:55
SANTA ANITA,Mall Aventura Santa Anita,"Av. Nicolás Ayllón, Santa Anita 15008",30%,12%,"2912 
",24192,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:49
PAUCARPATA,Mall Aventura Arequipa,Av. Porongoche 500,30%,12%,"2579 
",22009,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:49
