Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
INDEPENDENCIA,Plaza Norte,Av. Alfredo Mendiola 1400,30%,5%,"2016 personas
aforo actual",37023,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
SAN JUAN DE MIRAFLORES,Mall del Sur,Av. Los Lirios Nro. 301,30%,2%,"393 personas
aforo actual",25214,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
HUACHO,Plaza del Sol Huacho,Calle Clon 601,30%,3%,"115 personas
aforo actual",4223,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
ICA,Plaza del Sol Ica,Av. San Martín 727,30%,2%,"106 personas
aforo actual",6123,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
PIURA,Plaza del Sol Grau,Av Grau 1460,30%,2%,"117 personas
aforo actual",5631,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
PIURA,Plaza del Sol Centro,Calle Cuzco 801,30%,2%,"39 personas
aforo actual",2469,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
PIURA,Plaza del Sol Ampliación,Jr Apurímac 560,30%,1%,"30 personas
aforo actual",2005,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
SAN MIGUEL,Centro Comercial Plaza San Miguel,Av. La Marina 2000,30%,2%,"655 personas
aforo actual",32256,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
SANTIAGO DE SURCO,Jockey Plaza Shopping Center,Avenida Javier Prado Este 4200,30%,2%,"697 personas
aforo actual",39997,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:38
SURQUILLO,Open Plaza Angamos,Av. Angamos N° SN (Esq. Con Tomas Marsano),30%,2%,"227 personas
aforo actual",11733,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
SAN JUAN DE MIRAFLORES,Open Plaza Atocongo,Av. Circunvalacion N° 1803,30%,2%,"230 personas
aforo actual",11763,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
SAN MIGUEL,Open Plaza La Marina,Av. La Marina N° 2355 Urb. Maranga (1era Etapa),30%,2%,"204 personas
aforo actual",9869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
CALLAO,Open Plaza Canta Callao,Av. Canta Callao N°378 Provincia Const. Del Callao (Cruce Con Av. Bertello- ex Japón),30%,6%,"231 personas
aforo actual",3869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
CASTILLA,Open Plaza Piura,Av. Andres Avelino Cáceres N°147 Urb. Miraflores II Etapa,30%,3%,"309 personas
aforo actual",11442,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
CHICLAYO,Open Plaza Chiclayo,Av. V.Raul Haya De La Torre N° Urb.San Eduardo,20%,0%,"0 personas
aforo actual",4761,(*) Ultima Actualización por Centro Comercial: 16/05/2021 08:40
TRUJILLO,Open Plaza Trujillo,Av. America Norte N°1245 Urb. Los Jardines,30%,2%,"91 personas
aforo actual",4626,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
CAJAMARCA,Open Plaza Cajamarca,Av. Evitamiento Norte Cuadra 26,30%,1%,"48 personas
aforo actual",5287,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
YARINACOCHA,Open Plaza Pucallpa,Av. Centenario 2086,30%,2%,"204 personas
aforo actual",8425,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
HUANUCO,Open Plaza Huánuco,Jr 2 De Mayo N° 175,30%,2%,"80 personas
aforo actual",3937,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
HUANCAYO,Open Plaza Huancayo,Av. Ferrocarril 146-150 - Prolongacion San Carlos 136 y Jiron Amazonas 175,30%,0%,"8 personas
aforo actual",12342,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
CALLAO,Minka,Av. Argentina 3093,30%,6%,"1489 personas
aforo actual",25000,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:40
SANTA ANITA,Mall Aventura Santa Anita,"Av. Nicolás Ayllón, Santa Anita 15008",30%,3%,"701 personas
aforo actual",24192,(*) Ultima Actualización por Centro Comercial: 16/05/2021 09:38
